t_rel util pw mem
0 100  343.57 48320
1 99  345.23 48320
2 96  223.96 48320
3 99  322.27 48320
4 100  336.18 48320
5 100  345.96 48320
6 100  342.44 48320
7 96  218.40 48320
8 99  322.86 48320
9 100  338.94 48320
10 99  343.77 48320
11 99  327.90 48320
12 96  234.65 48320
13 99  323.31 48320
14 100  337.09 48320
15 100  345.22 48320
16 99  320.29 48320
17 96  244.29 48320
18 99  328.66 48320
19 99  339.04 48320
20 100  342.11 48320
21 29  290.77 48320
22 96  258.77 48320
23 99  322.36 48320
24 100  338.05 48320
25 100  345.09 48320
26 29  275.44 48320
27 96  283.65 48320
28 96  324.43 48320
29 100  343.05 48320
30 100  344.46 48320
31 55  264.46 48320
32 95  284.15 48320
33 99  327.21 48320
34 100  342.11 48320
35 99  344.95 48320
36 97  245.66 48320
37 95  300.45 48320
38 99  334.05 48320
39 99  343.38 48320
40 100  344.61 48320
41 98  247.96 48320
42 98  303.76 48320
43 100  333.90 48320
44 100  343.91 48320
45 100  344.37 48320
46 97  237.02 48320
47 99  313.41 48320
48 100  335.32 48320
49 99  345.66 48320
50 99  342.46 48320
51 98  230.18 48320
52 99  319.45 48320
53 100  337.65 48320
54 100  343.52 48320
55 99  345.42 48320
56 96  222.64 48320
57 99  324.78 48320
58 100  336.09 48320
59 100  346.20 48320
60 100  343.30 48320
61 96  229.18 48320
62 98  326.36 48320
63 99  337.88 48320
64 100  343.51 48320
65 99  326.23 48320
66 95  236.33 48320
67 9  279.00 48320
68 100  341.33 48320
69 100  344.14 48320
70 100  343.69 48320
71 96  223.25 48320
72 99  323.38 48320
73 99  337.56 48320
74 100  343.82 48320
75 99  328.98 48320
76 96  223.76 48320
77 98  325.54 48320
78 100  337.53 48320
79 100  344.42 48320
80 99  333.96 48320
81 96  242.92 48320
82 98  325.21 48320
83 100  339.54 48320
84 99  343.72 48320
85 50  294.28 48320
86 95  267.02 48320
87 99  323.50 48320
88 100  341.40 48320
89 100  343.07 48320
90 0  285.48 48320
91 95  274.83 48320
92 97  331.40 48320
93 100  341.45 48320
94 100  345.24 48320
95 99  258.40 48320
96 96  293.93 48320
97 99  334.29 48320
98 100  343.08 48320
99 100  344.05 48320
100 98  246.39 48320
101 98  301.82 48320
102 100  333.28 48320
103 100  347.42 48320
104 100  342.18 48320
105 98  234.58 48320
106 100  309.09 48320
107 99  332.98 48320
108 99  345.25 48320
109 99  342.32 48320
110 95  224.30 48320
111 99  318.19 48320
112 99  334.72 48320
113 99  345.88 48320
114 99  343.52 48320
115 97  218.36 48320
116 100  325.07 48320
117 99  334.98 48320
118 99  344.30 48320
119 99  342.46 48320
120 96  221.16 48320
121 99  323.04 48320
122 99  335.09 48320
123 99  344.44 48320
124 99  342.71 48320
125 0  160.56 48320
126 95  282.47 48320
127 96  322.33 48320
128 99  344.05 48320
129 100  342.92 48320
130 40  270.24 48320
131 95  289.91 48320
132 99  334.59 48320
133 100  342.51 48320
134 100  344.51 48320
135 99  248.01 48320
136 94  285.62 48320
137 99  328.04 48320
138 99  343.86 48320
139 99  343.33 48320
140 99  252.02 48320
141 95  295.77 48320
142 99  332.90 48320
143 100  344.16 48320
144 100  345.79 48320
145 97  252.00 48320
146 95  296.33 48320
147 99  333.22 48320
148 100  343.15 48320
149 100  343.03 48320
150 96  243.65 48320
151 99  305.59 48320
152 100  332.60 48320
153 99  342.12 48320
154 99  345.81 48320
155 97  232.59 48320
156 100  310.32 48320
157 100  335.23 48320
158 100  344.39 48320
159 100  342.55 48320
160 98  232.46 48320
161 99  320.13 48320
162 99  336.98 48320
163 100  343.74 48320
164 99  345.51 48320
165 98  222.35 48320
166 99  323.67 48320
167 100  336.52 48320
168 100  345.59 48320
169 100  342.71 48320
170 96  224.04 48320
171 98  324.92 48320
172 99  337.43 48320
173 100  344.65 48320
174 99  319.68 48320
175 96  244.12 48320
176 99  326.83 48320
177 100  289.23 48320
178 100  345.19 48320
179 100  342.91 48320
180 98  217.29 48320
181 99  323.39 48320
182 100  338.13 48320
183 100  342.91 48320
184 99  343.32 48320
185 96  224.18 48320
186 100  325.14 48320
187 100  337.45 48320
188 99  344.42 48320
189 99  327.91 48320
190 96  235.58 48320
191 99  328.22 48320
192 99  335.31 48320
193 99  345.92 48320
194 72  314.48 48320
195 96  250.66 48320
196 100  330.20 48320
197 100  338.71 48320
198 100  344.39 48320
199 0  293.63 48320
200 95  274.91 48320
201 97  325.98 48320
202 99  345.09 48320
203 100  341.76 48320
204 13  270.92 48320
205 96  282.77 48320
206 99  330.72 48320
207 100  341.82 48320
208 99  344.74 48320
209 99  257.12 48320
210 95  296.17 48320
211 99  337.23 48320
212 99  340.45 48320
213 99  346.10 48320
214 97  249.86 48320
215 99  299.27 48320
216 100  335.05 48320
217 99  342.51 48320
218 99  345.19 48320
219 97  247.93 48320
220 99  300.08 48320
221 100  336.49 48320
222 99  342.31 48320
223 99  344.66 48320
224 96  234.22 48320
225 100  314.42 48320
226 99  337.00 48320
227 99  344.17 48320
228 99  343.89 48320
229 96  223.30 48320
230 100  320.33 48320
231 99  338.01 48320
232 99  344.20 48320
233 99  342.84 48320
234 96  223.16 48320
235 100  327.69 48320
236 99  337.48 48320
237 99  344.35 48320
238 98  335.60 48320
239 95  229.32 48320
240 100  327.79 48320
241 99  337.66 48320
242 99  344.08 48320
243 99  318.06 48320
244 96  246.55 48320
245 100  332.64 48320
246 99  337.92 48320
247 100  344.08 48320
248 30  306.80 48320
249 95  259.42 48320
250 100  330.01 48320
251 99  344.21 48320
252 99  343.16 48320
253 0  267.89 48320
254 94  272.02 48320
255 97  332.77 48320
256 99  343.44 48320
257 99  343.65 48320
258 99  255.20 48320
