t util pw mem
0.1 99 343.67 48320
1.2 99 339.10 48320
2.3 96 228.45 48320
3.4 100 328.87 48320
4.5 100 338.30 48320
5.6 100 345.01 48320
6.7 94 318.57 48320
7.7 92 244.41 48320
8.8 100 329.66 48320
9.9 100 337.76 48320
10.9 99 344.28 48320
12.0 93 319.44 48320
13.1 95 249.62 48320
14.2 100 329.34 48320
15.3 100 336.23 48320
16.3 100 347.50 48320
17.4 99 331.76 48320
18.5 96 237.35 48320
19.6 100 329.32 48320
20.7 100 338.39 48320
21.8 100 342.85 48320
22.9 42 309.91 48320
24.0 96 256.44 48320
25.1 100 329.52 48320
26.2 99 337.58 48320
27.3 100 343.26 48320
28.4 0 291.47 48320
29.4 95 269.08 48320
30.5 97 326.04 48320
31.6 100 343.30 48320
32.7 99 346.15 48320
33.8 1 293.55 48320
34.9 96 267.70 48320
35.9 97 326.04 48320
37.0 100 343.24 48320
38.1 99 344.88 48320
39.2 1 293.58 48320
40.3 96 271.52 48320
41.4 96 324.85 48320
42.5 99 344.25 48320
43.6 99 344.74 48320
44.7 48 273.63 48320
45.7 95 286.78 48320
46.8 96 334.23 48320
47.9 100 344.42 48320
49.0 100 342.34 48320
50.1 67 252.84 48320
51.2 95 286.91 48320
52.3 99 336.70 48320
53.4 100 344.54 48320
54.5 100 344.71 48320
55.6 98 242.28 48320
56.7 96 300.97 48320
57.8 99 334.87 48320
58.9 99 343.28 48320
60.0 100 344.15 48320
61.1 98 253.72 48320
62.2 98 302.49 48320
63.2 100 336.53 48320
64.3 100 344.24 48320
65.4 100 345.02 48320
66.5 98 239.71 48320
67.6 100 305.49 48320
68.7 100 335.88 48320
69.7 100 346.24 48320
70.8 100 343.30 48320
71.9 95 244.88 48320
72.9 100 310.73 48320
74.0 99 334.62 48320
75.1 100 346.71 48320
76.1 100 342.88 48320
77.2 96 241.73 48320
78.3 100 311.17 48320
79.4 100 334.20 48320
80.5 100 345.94 48320
81.6 99 343.32 48320
82.7 95 234.56 48320
83.8 100 316.54 48320
84.9 100 335.57 48320
86.0 100 349.03 48320
87.1 100 341.98 48320
88.1 98 236.75 48320
89.2 100 317.88 48320
90.3 100 336.20 48320
91.4 100 346.31 48320
92.5 99 344.00 48320
93.5 98 240.43 48320
94.6 100 313.82 48320
95.7 100 336.96 48320
96.8 100 346.31 48320
97.9 100 345.12 48320
98.9 96 237.48 48320
100.0 100 317.72 48320
101.1 100 336.03 48320
102.2 100 343.69 48320
103.2 100 346.46 48320
104.3 98 232.96 48320
105.4 100 319.83 48320
106.5 100 336.26 48320
107.5 99 344.23 48320
108.6 100 345.17 48320
109.7 98 233.07 48320
110.8 100 322.05 48320
111.9 100 338.09 48320
113.0 99 345.06 48320
114.0 100 343.62 48320
115.1 96 228.10 48320
116.2 100 320.62 48320
117.3 99 337.80 48320
118.4 100 343.17 48320
119.5 100 345.46 48320
120.6 97 229.07 48320
121.7 100 321.56 48320
122.8 100 338.56 48320
123.9 99 343.16 48320
125.0 99 346.21 48320
126.0 98 222.68 48320
127.1 100 328.96 48320
128.2 100 338.07 48320
129.3 100 342.65 48320
130.4 100 345.97 48320
131.5 96 220.71 48320
132.6 100 327.96 48320
133.6 100 338.43 48320
134.7 100 342.42 48320
135.8 100 346.42 48320
136.9 98 228.66 48320
137.9 100 326.30 48320
139.0 100 336.66 48320
140.1 100 344.38 48320
141.2 100 343.41 48320
142.3 95 216.41 48320
143.4 100 327.73 48320
144.5 99 337.67 48320
145.6 100 343.65 48320
146.7 99 343.54 48320
147.8 95 225.69 48320
148.8 93 326.91 48320
149.9 99 338.99 48320
151.0 100 342.91 48320
152.1 99 342.27 48320
153.2 95 224.84 48320
154.3 100 329.66 48320
155.4 100 337.03 48320
156.5 100 342.78 48320
157.5 99 342.91 48320
158.6 93 226.46 48320
159.7 100 328.54 48320
160.8 100 337.83 48320
161.9 99 343.29 48320
163.0 99 323.00 48320
164.1 94 242.58 48320
165.2 100 329.97 48320
166.3 100 341.35 48320
167.4 100 341.73 48320
168.5 99 304.54 48320
169.5 95 243.49 48320
170.6 100 329.18 48320
171.7 100 337.89 48320
172.8 99 343.85 48320
173.9 20 305.76 48320
175.0 96 259.59 48320
176.1 100 330.63 48320
177.2 100 338.68 48320
178.3 99 342.66 48320
179.4 0 288.24 48320
180.5 95 275.72 48320
181.6 100 326.05 48320
182.6 99 338.82 48320
183.7 100 342.08 48320
184.8 0 288.59 48320
185.8 96 261.51 48320
186.9 100 327.10 48320
188.0 99 341.91 48320
189.1 99 344.30 48320
190.2 13 283.72 48320
191.3 92 283.05 48320
192.4 99 328.15 48320
193.5 100 342.69 48320
194.6 100 345.93 48320
195.6 8 278.30 48320
196.7 95 282.93 48320
197.8 99 327.11 48320
198.9 100 343.69 48320
200.0 99 345.77 48320
201.1 73 260.28 48320
202.1 96 285.64 48320
203.2 97 326.76 48320
204.3 100 341.96 48320
205.4 100 344.59 48320
206.5 81 264.82 48320
207.6 93 285.78 48320
208.6 96 340.08 48320
209.7 100 342.87 48320
210.8 100 344.70 48320
211.9 91 263.87 48320
213.0 95 290.15 48320
214.1 99 339.33 48320
215.2 99 343.09 48320
216.3 100 346.86 48320
217.4 98 252.79 48320
218.5 100 303.47 48320
219.6 100 335.13 48320
220.7 99 345.17 48320
221.8 100 345.28 48320
222.8 98 247.80 48320
223.9 100 308.08 48320
225.0 100 335.39 48320
226.1 100 348.00 48320
227.2 100 343.42 48320
228.3 97 211.04 48320
229.4 98 305.42 48320
230.5 100 337.28 48320
231.6 100 343.80 48320
232.7 99 345.02 48320
233.8 98 245.53 48320
234.9 100 307.88 48320
236.0 100 338.49 48320
237.1 100 343.49 48320
238.2 99 344.66 48320
239.3 98 235.32 48320
240.4 100 317.92 48320
241.4 100 335.80 48320
242.5 99 342.53 48320
243.6 100 344.90 48320
244.7 97 235.27 48320
245.8 100 319.83 48320
246.9 99 338.71 48320
247.9 99 343.05 48320
249.0 100 345.74 48320
250.1 97 231.61 48320
251.2 100 321.11 48320
252.3 100 341.10 48320
253.3 99 343.37 48320
254.4 99 344.49 48320
255.5 97 221.26 48320
256.6 100 320.70 48320
257.7 99 337.26 48320
258.8 99 342.93 48320
259.9 99 346.01 48320
261.0 94 223.93 48320
262.1 100 328.69 48320
263.1 99 336.41 48320
264.2 100 343.80 48320
