B0 argv: --config 12b --phase B0 --device cuda --dtype bf16 --grad-ckpt --seed 0 --save-dir /root/autodl-tmp/runs/b0 --keep-last 2 --no-save-full --save-trainable --no-save-optim --micro-batch 1 --accum 1 --offload-encoder --seq-len 64 --steps 32 --save-every 8 --log /root/autodl-tmp/runs/b0/metrics.jsonl --dummy-upcycle
built CAT-YOKO-12B on cuda dtype=bf16 params=12,250,381,312 alloc=14.66GiB grad_ckpt=True seq=64 offload_enc=True offload_blocks=False optim_cpu=False adam=gpu trainable=219.21M reuse=False PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True
CAT-YOKO-12B B0 step 1/32 nll=12.2966 ppl=218956.2 aux=0.0000 gate=0.009 gn=0.25 moe_cv=0.96 trainable=219.21M lr=1.00e-07 fp8=False tok=64 tok/s=7 mem=23378MiB
CAT-YOKO-12B B0 step 2/32 nll=12.1240 ppl=184242.5 aux=0.0000 gate=0.019 gn=0.45 moe_cv=0.97 trainable=219.21M lr=1.00e-07 fp8=False tok=128 tok/s=11 mem=24244MiB
CAT-YOKO-12B B0 step 3/32 nll=12.2738 ppl=214016.7 aux=0.0000 gate=0.028 gn=0.70 moe_cv=0.98 trainable=219.21M lr=1.00e-07 fp8=False tok=192 tok/s=14 mem=24244MiB
CAT-YOKO-12B B0 step 4/32 nll=12.0913 ppl=178308.3 aux=0.0000 gate=0.038 gn=0.98 moe_cv=0.99 trainable=219.21M lr=1.00e-07 fp8=False tok=256 tok/s=13 mem=24244MiB
CAT-YOKO-12B B0 step 5/32 nll=12.2966 ppl=218956.2 aux=0.0000 gate=0.047 gn=1.26 moe_cv=0.99 trainable=219.21M lr=1.00e-07 fp8=False tok=320 tok/s=17 mem=24244MiB
CAT-YOKO-12B B0 step 6/32 nll=12.1885 ppl=196514.6 aux=0.0000 gate=0.056 gn=1.49 moe_cv=0.99 trainable=219.21M lr=1.00e-07 fp8=False tok=384 tok/s=15 mem=24244MiB
CAT-YOKO-12B B0 step 7/32 nll=12.1111 ppl=181881.5 aux=0.0000 gate=0.065 gn=1.84 moe_cv=0.99 trainable=219.21M lr=1.00e-07 fp8=False tok=448 tok/s=15 mem=24244MiB
CAT-YOKO-12B B0 step 8/32 nll=12.1438 ppl=187934.6 aux=0.0000 gate=0.075 gn=1.93 moe_cv=1.01 trainable=219.21M lr=1.00e-07 fp8=False tok=512 tok/s=14 mem=24244MiB
CAT-YOKO-12B B0 step 9/32 nll=11.9891 ppl=160988.3 aux=0.0000 gate=0.084 gn=2.17 moe_cv=0.97 trainable=219.21M lr=1.00e-07 fp8=False tok=576 tok/s=16 mem=24244MiB
CAT-YOKO-12B B0 step 10/32 nll=12.2212 ppl=203054.7 aux=0.0000 gate=0.094 gn=2.34 moe_cv=0.97 trainable=219.21M lr=1.00e-07 fp8=False tok=640 tok/s=16 mem=24244MiB
